Params,Score,ID,Close
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_713,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_714,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_715,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_716,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_717,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_718,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_719,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_720,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_721,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_722,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_723,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_724,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_725,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_726,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_727,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_728,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_729,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_730,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_731,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_732,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_733,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_734,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_735,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_736,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_737,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_738,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_739,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_740,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_741,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_742,119.02082681344939
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_743,118.86870666387142
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_744,118.86870666387142
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_745,118.86870666387142
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_746,118.86870666387142
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_747,118.86870666387142
"{'depth': 1, 'learning_rate': 0.35}",5.774347653411893,id_748,118.86870666387142
