ID,Close
id_713,117.22162
id_714,117.149574
id_715,117.822205
id_716,117.37247
id_717,117.149574
id_718,117.308876
id_719,117.3106
id_720,117.68098
id_721,117.23124
id_722,117.24943
id_723,117.10158
id_724,117.03975
id_725,117.5165
id_726,117.27046
id_727,117.71626
id_728,117.22771
id_729,117.44929
id_730,116.881584
id_731,117.179474
id_732,117.50965
id_733,117.95868
id_734,117.57442
id_735,118.14212
id_736,117.98966
id_737,117.98966
id_738,117.93842
id_739,117.57442
id_740,117.93842
id_741,117.625656
id_742,117.625656
id_743,117.57442
id_744,117.93842
id_745,117.50197
id_746,117.55321
id_747,117.91721
id_748,117.50197
id_749,117.34072
id_750,117.35332
id_751,117.6996
id_752,117.25583
id_753,116.65578
